raiz,fruta,pastoreo,altura
6.225,59.77,1,2.1
6.487,60.98,1,2.6
4.919,14.73,1,2.4
5.13,19.28,1,2.7
5.417,34.25,1,2.3
5.359,35.53,1,2
7.614,87.73,1,2.1
6.352,63.21,1,2.8
4.975,24.25,1,2.1
6.93,64.34,1,2.6
6.248,52.92,1,2.9
5.451,32.35,1,1.9
6.013,53.61,1,2.4
5.928,54.86,1,2.7
6.264,64.81,1,1.8
7.181,73.24,1,2.6
7.001,80.64,1,2.8
4.426,18.89,1,1.8
7.302,75.49,1,2.1
5.836,46.73,1,2.8
10.253,116.05,2,2.9
6.958,38.94,2,2
8.001,60.77,2,2.7
9.039,84.37,2,2.1
8.91,70.11,2,2.3
6.106,14.95,2,2
7.691,70.7,2,1.8
8.988,80.31,2,2.5
8.975,82.35,2,2.1
9.844,105.07,2,2.1
8.508,73.79,2,2.3
7.354,50.08,2,2.5
8.643,78.28,2,2.3
7.916,41.48,2,1.9
9.351,98.47,2,2.3
7.066,40.15,2,2.7
8.158,52.26,2,2.2
7.382,46.64,2,1.8
8.515,71.01,2,2.3
8.53,83.03,2,1.9
